source	destination	artifact_type	description	status	action	exported_at	analysis_root	quarto_dir
results/04_differential_expression/contrasts/P_OL_vs_N_OD/figures/volcano_P_OL_vs_N_OD.png	figures/05_de/contrasts/P_OL_vs_N_OD/volcano_P_OL_vs_N_OD.png	figure	volcano figure P_OL_vs_N_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OL_vs_N_OD/figures/ma_P_OL_vs_N_OD.png	figures/05_de/contrasts/P_OL_vs_N_OD/ma_P_OL_vs_N_OD.png	figure	ma figure P_OL_vs_N_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OL_vs_N_OD/figures/heatmap_P_OL_vs_N_OD.png	figures/05_de/contrasts/P_OL_vs_N_OD/heatmap_P_OL_vs_N_OD.png	figure	heatmap figure P_OL_vs_N_OD	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_N_BL/tables/deg_P_BD_vs_N_BL_significant_annotated.tsv	tables/05_de/by_contrast/P_BD_vs_N_BL_significant_annotated.tsv	table	Significant annotated DEG table P_BD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_N_BL/figures/volcano_P_BD_vs_N_BL.png	figures/05_de/contrasts/P_BD_vs_N_BL/volcano_P_BD_vs_N_BL.png	figure	volcano figure P_BD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_N_BL/figures/ma_P_BD_vs_N_BL.png	figures/05_de/contrasts/P_BD_vs_N_BL/ma_P_BD_vs_N_BL.png	figure	ma figure P_BD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_N_BL/figures/heatmap_P_BD_vs_N_BL.png	figures/05_de/contrasts/P_BD_vs_N_BL/heatmap_P_BD_vs_N_BL.png	figure	heatmap figure P_BD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/figures/deg_counts_by_contrast.png	figures/05_de/summary/deg_counts_by_contrast.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/overlaps/figures/upset_all_main_noninteraction.png	figures/05_de/summary/upset_all_main_noninteraction.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/overlaps/figures/upset_pseudoalbino_within_and_surface.png	figures/05_de/summary/upset_pseudoalbino_within_and_surface.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/overlaps/figures/venn_abnormal_vs_expected.png	figures/05_de/summary/venn_abnormal_vs_expected.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/overlaps/figures/venn_primary_pigmentation_axis.png	figures/05_de/summary/venn_primary_pigmentation_axis.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/05_functional_enrichment/development_neural_crest/figures/development_neural_crest_terms.png	figures/05_de/enrichment/development_neural_crest_terms.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/05_functional_enrichment/go_gsea/summary/figures/go_gsea_dotplot_all_contrasts.png	figures/05_de/enrichment/go_gsea_dotplot_all_contrasts.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/05_functional_enrichment/go_ora/summary/figures/go_ora_dotplot_all_contrasts.png	figures/05_de/enrichment/go_ora_dotplot_all_contrasts.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/05_functional_enrichment/compare_cluster/figures/comparecluster_go_ora_dotplot.png	figures/05_de/enrichment/comparecluster_go_ora_dotplot.png	figure	DE/enrichment summary figure	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/results/nfcore_rnaseq/multiqc/star_salmon/multiqc_report_data/fastp_filtered_reads_plot.txt	multiqc/star_salmon/multiqc_report_data/fastp_filtered_reads_plot.txt	multiqc	nf-core star_salmon MultiQC multiqc_report_data/fastp_filtered_reads_plot.txt	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
