method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0014067	BP: negative regulation of phosphatidylinositol 3-kinase signaling	0.0990990990990991	0.35739282589676286	0.29881736274193793	11	1.4261290903754278
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0048285	BP: organelle fission	0.09885057471264368	0.35739282589676286	0.29881736274193793	14	1.4154728179224099
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0045814	BP: negative regulation of gene expression, epigenetic	0.09885057471264368	0.35739282589676286	0.29881736274193793	14	1.4073548783254655
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0042274	BP: ribosomal small subunit biogenesis	0.09953703703703703	0.35739282589676286	0.29881736274193793	16	1.4026829220714905
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0032870	BP: cellular response to hormone stimulus	0.09925558312655088	0.35739282589676286	0.29881736274193793	26	1.3947453401663574
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001937	BP: negative regulation of endothelial cell proliferation	0.09925558312655088	0.35739282589676286	0.29881736274193793	25	1.3800364325590977
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0055010	BP: ventricular cardiac muscle tissue morphogenesis	0.09947643979057591	0.35739282589676286	0.29881736274193793	31	1.3222131445406362
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0071560	BP: cellular response to transforming growth factor beta stimulus	0.0997229916897507	0.35749751737835156	0.29890489564736594	41	1.3120883084722155
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0046328	BP: regulation of JNK cascade	0.1	0.3579277864992151	0.2992646451293068	19	-1.3909758627880482
GSEA	P_OL_vs_N_OD	NES_negative	CC	GO:0005923	CC: bicellular tight junction	0.043859649122807015	0.3596491228070175	0.3308710372422284	85	-1.3608456855990396
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0003281	BP: ventricular septum development	0.10073710073710074	0.3600009242642471	0.30099800269739224	24	1.3859634442959845
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0030206	BP: chondroitin sulfate biosynthetic process	0.10114942528735632	0.36090874750418217	0.30175703680982174	14	1.4019054983488712
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0015693	BP: magnesium ion transport	0.10178571428571428	0.36115431138759285	0.30196235361169466	13	-1.357067270425432
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006970	BP: response to osmotic stress	0.10178571428571428	0.36115431138759285	0.30196235361169466	13	-1.3537046440189613
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007517	BP: muscle organ development	0.10185185185185185	0.36115431138759285	0.30196235361169466	57	1.2957596387410395
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007409	BP: axonogenesis	0.10163934426229508	0.36115431138759285	0.30196235361169466	90	1.214574736186129
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004331	MF: fructose-2,6-bisphosphate 2-phosphatase activity	0.05400696864111498	0.36128799711642434	0.3283545280358171	11	-1.4539696610893262
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0008092	MF: cytoskeletal protein binding	0.054491899852724596	0.36141636141636146	0.32847119119501106	59	-1.3950569536575346
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004715	MF: non-membrane spanning protein tyrosine kinase activity	0.055152394775036286	0.36269710462227256	0.3296351873262651	67	-1.3521365621291432
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0032091	BP: negative regulation of protein binding	0.10248447204968944	0.3628332240268508	0.30336609820527555	59	1.262887792539205
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0070262	BP: peptidyl-serine dephosphorylation	0.10357142857142858	0.3661129568106313	0.306108293990791	13	-1.352514841299501
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0050871	BP: positive regulation of B cell activation	0.10375275938189846	0.366186209583171	0.30616954088417486	10	1.4345663984173789
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0043542	BP: endothelial cell migration	0.1044776119402985	0.3681745830353641	0.3078320267207038	27	1.361863430500603
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0086091	BP: regulation of heart rate by cardiac conduction	0.10669975186104218	0.3754250528444077	0.3138941692988099	26	1.3790739056781898
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0045505	MF: dynein intermediate chain binding	0.058689613381834545	0.37666534673700613	0.34233014421296004	27	-1.4731238941291138
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0071949	MF: FAD binding	0.05873261205564142	0.37666534673700613	0.34233014421296004	38	-1.4386035962710708
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0070888	MF: E-box binding	0.05806805090490428	0.37666534673700613	0.34233014421296004	45	1.4053266890777032
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0065003	BP: protein-containing complex assembly	0.10787172011661808	0.3789638241385042	0.3168529480677891	50	1.3211819543724577
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0030030	BP: cell projection organization	0.10823529411764705	0.37907291949037675	0.31694416306420703	18	1.370802610339931
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0006260	BP: DNA replication	0.10819672131147541	0.37907291949037675	0.31694416306420703	90	1.1961210552964145
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0090190	BP: positive regulation of branching involved in ureteric bud morphogenesis	0.10854503464203233	0.37957466101814985	0.3173636708697458	15	1.3900555195744824
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0022010	BP: central nervous system myelination	0.10896309314586995	0.3803169307756464	0.3179842851499056	15	-1.3711892903669864
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007097	BP: nuclear migration	0.10909090909090909	0.3803169307756464	0.3179842851499056	29	1.3254409588157254
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0035871	BP: protein K11-linked deubiquitination	0.1092896174863388	0.38042798147916407	0.3180771350225144	10	-1.3709743556269673
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0005160	MF: transforming growth factor beta receptor binding	0.060068179878709986	0.38207301299900776	0.34724487073973853	11	1.5601085317509695
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:1904707	BP: positive regulation of vascular smooth muscle cell proliferation	0.1111111111111111	0.3844208396560445	0.3214155773855478	16	1.3734921041414954
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	0.11072056239015818	0.3844208396560445	0.3214155773855478	15	-1.3692917515020675
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0016032	BP: viral process	0.1111111111111111	0.3844208396560445	0.3214155773855478	14	-1.3665819259655465
